language,bytes_per_verse,chars_per_verse,words_per_verse,gpt4o_o200k_tok_per_verse,gpt4_cl100k_tok_per_verse,mbert_tok_per_verse,xlmr_tok_per_verse,bloom_tok_per_verse,byt5_tok_per_verse,nllb_tok_per_verse,mt5_tok_per_verse,llama3_tok_per_verse,gemma_tok_per_verse,aya_tok_per_verse,gpt4o_o200k_ratio_vs_en,gpt4o_o200k_ratio_vs_ar,gpt4_cl100k_ratio_vs_en,gpt4_cl100k_ratio_vs_ar,mbert_ratio_vs_en,mbert_ratio_vs_ar,xlmr_ratio_vs_en,xlmr_ratio_vs_ar,bloom_ratio_vs_en,bloom_ratio_vs_ar,byt5_ratio_vs_en,byt5_ratio_vs_ar,nllb_ratio_vs_en,nllb_ratio_vs_ar,mt5_ratio_vs_en,mt5_ratio_vs_ar,llama3_ratio_vs_en,llama3_ratio_vs_ar,gemma_ratio_vs_en,gemma_ratio_vs_ar,aya_ratio_vs_en,aya_ratio_vs_ar
khmer,523.9307248236049,179.08964079538165,4.967126363053239,115.31943553559974,299.92174470814626,11.626363053239256,62.74053880692752,217.06013470173187,523.9307248236049,62.16998075689545,58.839801154586276,299.9134060295061,175.43409236690187,58.839801154586276,3.747235683393257,1.3474537050048998,9.686319191249586,2.5889896319264687,0.3382932758483928,0.341460657752827,1.8246388031302174,0.6645232077830316,6.839164902459111,3.572016298008666,3.9402314043208024,2.4578941548100066,1.8394340670028992,0.7112779416729045,1.5688198524067283,0.6233722326893902,9.688157226774967,3.4210925853096397,5.740950451821455,2.1124556850568856,1.5688198524067283,0.6233722326893902
yoruba,235.0779345734445,173.22674791533035,30.595253367543297,93.67415009621553,117.29265554842848,101.10214881334188,110.45397690827454,84.71440025657473,235.0779345734445,57.789127645926875,108.49454778704298,111.93056446440026,102.18409236690187,108.49454778704298,3.043885154499505,1.0945386614502237,3.7881017981438516,1.0124956742016307,2.941777833769603,2.9693211949380447,3.2122550436980593,1.1698852519158651,2.66919466240899,1.3940893329322166,1.767908267989069,1.1028112189973376,1.709817001712792,0.6611572219042168,2.89274261819861,1.1494343482050176,3.615713353294034,1.276784620027987,3.3438985736925515,1.2304299804589447,2.89274261819861,1.1494343482050176
uyghur,338.4244708146248,184.26202694034637,22.294900577293138,88.59156510583708,187.41645285439384,73.7317190506735,59.98139833226427,135.28159076330982,338.4244708146248,47.114817190506734,115.71135343168697,160.57809493264912,123.82857601026299,115.71135343168697,2.878729612839352,1.0351510313904706,6.052830833609546,1.6178195207707533,2.145378108129546,2.1654649152965444,1.7443966683144767,0.6352994727974346,4.262473663202252,2.2262404272949423,2.5451279429038665,1.587636474154073,1.393994315998235,0.5390339483069878,3.0851611468835243,1.2258920547116696,5.187183365622701,1.8317038148110887,4.05219823469527,1.4910578430691044,3.0851611468835243,1.2258920547116696
arabic_source,213.16244387427838,112.2892880051315,12.416452854393842,85.58322642719692,115.84509300833868,34.04890955740859,94.4143681847338,60.76683771648493,213.16244387427838,87.40602950609365,94.38951250801796,87.66597177677998,83.04746632456703,94.38951250801796,2.780975457245584,1.0,3.74135109380179,1.0,0.9907240209596064,1.0,2.745786425153666,1.0,1.9146510911139518,1.0,1.6030923856545725,1.0,2.586097444097036,1.0,2.5166662391079413,1.0,2.8318898086466437,1.0,2.717666691155634,1.0,2.5166662391079413,1.0
kurdish,263.0813021167415,144.02212957023733,23.28576010262989,81.9615137908916,147.76266837716486,34.5253367543297,78.1861770365619,99.35936497754972,263.0813021167415,45.66484926234766,68.31494547787042,123.64977549711354,88.50978191148172,68.31494547787042,2.663290083893492,0.9576819805994788,4.772166058999006,1.2755194418681912,1.004586663680436,1.0139924362663604,2.273833397069385,0.8281173569215718,3.130630516832814,1.6350919138021123,1.9785081488377927,1.2341822383679597,1.3510938619423345,0.5224450706706002,1.821451476360278,0.7237556764801321,3.994281155786704,1.4104648929456636,2.896416914180162,1.0657734164407475,1.821451476360278,0.7237556764801321
japanese,248.65779345734444,85.87556125721616,1.0012828736369468,71.80981398332264,92.02341244387428,69.06221937139192,55.910198845413724,78.55195638229634,248.65779345734444,48.86289288005131,51.67030147530468,64.58290570878768,54.63101347017319,51.67030147530468,2.333416705747486,0.8390641131578405,2.972002403049387,0.7943660802037624,2.009509278312033,2.028323968935002,1.6259968473972373,0.5921789227675417,2.4750274104801506,1.2926780351610536,1.8700358659813459,1.1665178393432238,1.4457149363989619,0.5590334346058444,1.3776626219611263,0.54741570437622,2.0862333329879923,0.7366929767599257,1.787759364406335,0.6578287801901584,1.3776626219611263,0.54741570437622
asante,152.35551635663887,136.66901860166774,27.098300192431047,71.59284797947402,76.34894162924952,53.12283515073765,67.65570878768442,72.35567671584349,152.35551635663887,59.88149454778704,70.92847979474021,76.09076330981398,66.34541372674792,70.92847979474021,2.326366525975718,0.8365289668107558,2.465777262180975,0.6590606442324995,1.5457196582632267,1.5601919662410693,1.9675832221838772,0.7165827626501441,2.2797940550836966,1.1907099239461447,1.1457926816031878,0.7147390205682621,1.7717242262783075,0.6850956951844187,1.8911349973918916,0.7514444974881628,2.457973747189789,0.867962354921024,2.1711044174599343,0.7988854646986585,1.8911349973918916,0.7514444974881628
tamil,500.6125721616421,183.7623476587556,19.151379089159718,65.98268120590122,250.7018922386145,78.04105195638229,51.95125080179602,45.41966003848621,500.6125721616421,50.621712636305325,52.720974983964076,250.7009300833868,84.24278383579218,52.720974983964076,2.1440675316554634,0.7709767902011816,8.096707200861784,2.164113176727897,2.270767134665005,2.2920279377758104,1.5108615559680263,0.5502472960486983,1.43108980026981,0.7474415609776693,3.7648667748836835,2.3485026867908294,1.4977534433758608,0.5791558422497175,1.4056762696356344,0.558546956998911,8.098437678066368,2.859729094451101,2.756782569452462,1.0143931845741518,1.4056762696356344,0.558546956998911
malayalam,514.5822642719692,185.29714560615778,16.708948043617703,65.7998717126363,301.53688261706225,93.71103271327775,53.2281911481719,43.692270686337395,514.5822642719692,49.55211674150096,59.41388710711995,295.8215202052598,98.74983964079539,59.41388710711995,2.1381272471471,0.7688407467158331,9.738481935697715,2.6029318531028087,2.7267178991867187,2.752247691083178,1.5479979107011275,0.5637721479428229,1.3766629445676724,0.7190150471576124,3.8699261213847596,2.4140381153420534,1.4661071230315943,0.5669187471562972,1.5841264547685625,0.6294543273763916,9.555976295805145,3.374416711634671,3.2315152024013183,1.1890770906226107,1.5841264547685625,0.6294543273763916
moore,139.3489416292495,118.1005452212957,26.197081462475946,65.74470814624759,78.0724823604875,59.707504810776136,65.00577293136627,65.01266837716484,139.3489416292495,45.656991661321356,74.77613855035278,72.24134060295061,63.53287363694676,74.77613855035278,2.136334740242822,0.7681961862255174,2.5214410009943657,0.6739386221120971,1.7373143521045926,1.7535805283310335,1.8905170081986327,0.688515680200011,2.0484293921189183,1.069870850948166,1.0479764784767933,0.6537218240537553,1.3508613777299103,0.5223551729705136,1.9937234379141975,0.7922081231641163,2.3336251463381785,0.8240522421504158,2.079066130708116,0.7650188073004766,1.9937234379141975,0.7922081231641163
