tokenizer,flores_code,mean_tok_per_sent
gpt4o_o200k,als_Latn,48.62845849802372
gpt4o_o200k,arb_Arab,36.676877470355734
gpt4o_o200k,asm_Beng,52.80632411067194
gpt4o_o200k,azj_Latn,45.53162055335969
gpt4o_o200k,bos_Latn,39.83102766798419
gpt4o_o200k,ckb_Arab,73.56027667984189
gpt4o_o200k,deu_Latn,34.80632411067194
gpt4o_o200k,eng_Latn,26.554347826086957
gpt4o_o200k,fra_Latn,36.37154150197628
gpt4o_o200k,gaz_Latn,49.90217391304348
gpt4o_o200k,guj_Gujr,47.56422924901186
gpt4o_o200k,hau_Latn,41.16600790513834
gpt4o_o200k,hrv_Latn,39.28656126482213
gpt4o_o200k,ind_Latn,33.17193675889328
gpt4o_o200k,jpn_Jpan,44.030632411067195
gpt4o_o200k,kan_Knda,52.34683794466403
gpt4o_o200k,khm_Khmr,88.5790513833992
gpt4o_o200k,kir_Cyrl,44.441699604743086
gpt4o_o200k,lin_Latn,42.93675889328063
gpt4o_o200k,lit_Latn,44.49802371541502
gpt4o_o200k,mal_Mlym,51.9604743083004
gpt4o_o200k,mkd_Cyrl,47.38636363636363
gpt4o_o200k,mos_Latn,54.062252964426875
gpt4o_o200k,nld_Latn,33.116600790513836
gpt4o_o200k,pbt_Arab,45.51778656126482
gpt4o_o200k,pes_Arab,40.62845849802372
gpt4o_o200k,por_Latn,32.53162055335969
gpt4o_o200k,ron_Latn,43.34584980237154
gpt4o_o200k,spa_Latn,34.99505928853755
gpt4o_o200k,srp_Cyrl,47.2598814229249
gpt4o_o200k,tam_Taml,52.56818181818182
gpt4o_o200k,tgk_Cyrl,50.25790513833992
gpt4o_o200k,tgl_Latn,45.00494071146245
gpt4o_o200k,tur_Latn,38.00197628458498
gpt4o_o200k,twi_Latn,49.298418972332016
gpt4o_o200k,uig_Arab,66.8695652173913
gpt4o_o200k,urd_Arab,43.88636363636363
gpt4o_o200k,uzn_Latn,47.14624505928854
gpt4o_o200k,vie_Latn,39.555335968379445
gpt4o_o200k,yor_Latn,57.547430830039524
gpt4o_o200k,zho_Hans,33.15711462450593
gpt4_cl100k,als_Latn,60.33794466403162
gpt4_cl100k,arb_Arab,81.31225296442688
gpt4_cl100k,asm_Beng,165.2411067193676
gpt4_cl100k,azj_Latn,70.8804347826087
gpt4_cl100k,bos_Latn,50.309288537549406
gpt4_cl100k,ckb_Arab,128.81422924901185
gpt4_cl100k,deu_Latn,42.59189723320158
